cancer_type,protein,mean_in,mean_out,fold_change,p_value
Breast,VPS13D,0.0,0.095,-0.095,0.7733673917501869
Breast,FKBP8,0.0,0.1,-0.1,0.7733673917501869
Breast,SAMM50,0.0,0.099,-0.099,0.7733673917501869
Colorectal,CLPX,0.0,0.564,-0.564,0.7746929040115029
Colorectal,TIMM13,0.0,0.539,-0.539,0.7746929040115029
Breast,HSPE1,3.662,4.358,-0.696,0.7760868993942358
Other,AFG3L2,0.353,0.473,-0.12,0.7802898866821918
Patient plasma,ARMC10,0.0,0.344,-0.344,0.7832615679518192
Patient plasma,TOMM34,0.0,0.353,-0.353,0.7832615679518192
Other,SNAP29,0.362,0.482,-0.12,0.7840813413979275
Pancreatic,NIPSNAP1,0.606,0.511,0.095,0.7860223188395191
Other,SLC25A6,5.523,5.953,-0.431,0.7868407362388288
Colorectal,NRDC,0.0,0.425,-0.425,0.7870624029887364
Normal/Control,PHB2,4.288,3.863,0.425,0.7916487639992639
Pancreatic,TOMM22,0.0,0.051,-0.051,0.7960648177123024
Pancreatic,AGK,0.0,0.051,-0.051,0.7960648177123024
Pancreatic,FUNDC1,0.0,0.047,-0.047,0.7960648177123024
Pancreatic,MIPEP,0.0,0.046,-0.046,0.7960648177123024
Pancreatic,NBR1,0.0,0.059,-0.059,0.7960648177123024
Pancreatic,METAP1D,0.0,0.054,-0.054,0.7960648177123024
Pancreatic,TIMM9,0.0,0.05,-0.05,0.7960648177123024
Pancreatic,SLC25A23,0.0,0.05,-0.05,0.7960648177123024
Pancreatic,SPIRE1,0.0,0.05,-0.05,0.7960648177123024
Breast,PHB,2.407,2.898,-0.491,0.7962556692525142
Lung,TIMM44,0.0,0.136,-0.136,0.8001814118596099
Lung,DNAJC11,0.0,0.145,-0.145,0.8001814118596099
Lung,MFN2,0.0,0.143,-0.143,0.8001814118596099
Colorectal,AFG3L2,0.0,0.382,-0.382,0.8001960779891761
Colorectal,NIPSNAP2,0.0,0.384,-0.384,0.8001960779891761
